Sample Name ,Panicle ID,Panicle length,Dia,weight(gm),Stalk length,Volume(1700ml),Standard Volume (ml),Rise Of Volume (ml) ,Change in Volume(ml),Volume of panicle(ccm)
ICSB.1,1,33.5,12.5,56.17,9.9,17.8,1700,80,1780,80
ICSB.4,4,31.5,13.8,57.64,14.5,17.8,1700,80,1780,80
ICSB.8,8,31.8,13.7,55.61,11.9,17.8,1700,80,1780,80
ICSB.11,11,30.5,12,35.06,11.3,17.5,1700,50,1750,50
ICSB.13,13,31.8,13.2,48.03,12,17.7,1700,70,1770,70
ICSB.17,17,32.5,14.5,61.23,12.2,17.8,1700,80,1780,80
ICSB.20,20,35.1,13.3,54.64,13.4,17.8,1700,80,1780,80
ICSB.22,22,28,10.6,31.81,13.1,17.5,1700,50,1750,50
ICSB.25,25,26.3,12.5,35.74,11.4,17.55,1700,55,1755,55
ICSB.28,28,27.1,12.2,40.26,12.8,17.5,1700,50,1750,50
ICSB.32,32,35,13.5,57.38,11.5,17.8,1700,80,1780,80
ICSB.35,35,34,12.6,47.89,12.2,17.7,1700,70,1770,70
ICSB.38,38,36,13,40.16,12.6,17.5,1700,50,1750,50
ICSB.41,41,30,11.8,39.27,12.4,17.55,1700,55,1755,55
ICSB.44,44,27.5,11,31.88,13.6,17.45,1700,45,1745,45
ICSB.47,47,25,12.2,34.32,12.3,17.4,1700,40,1740,40
ICSB.51,51,28.7,11.4,34.58,31.8,17.4,1700,40,1740,40
ICSB.55,55,28.3,12.3,49.67,10.2,17.55,1700,55,1755,55
ICSB.59,59,29.8,11.5,38.18,12.4,17.5,1700,50,1750,50
ICSB.62,62,27,9.6,29.87,12.5,17.4,1700,40,1740,40
ICSB.65,65,27.4,13.2,42.47,11.7,17.6,1700,60,1760,60
ICSB.68,68,32.5,11.4,49.56,11.6,17.75,1700,75,1775,75
ICSB.71,71,30.6,11.5,37.32,11.2,17.5,1700,50,1750,50
ICSB.74,74,34,11.6,54.92,13.5,17.75,1700,75,1775,75
ICSB.78,78,29,11,36.01,12.4,17.45,1700,45,1745,45
ICSB.80,80,27.5,12.4,38.21,14.8,17.5,1700,50,1750,50
ICSB.83,83,35,12.6,56.57,12.7,17.75,1700,75,1775,75
ICSB.86,86,31.5,11.8,40.33,12.3,17.55,1700,55,1755,55
ICSB.89,89,29,12.1,40.42,15.7,17.5,1700,50,1750,50
ICSB.95,95,32,11,32.43,12.1,17.4,1700,40,1740,40
ICSB.97,97,24.7,10.6,31.64,15.3,17.4,1700,40,1740,40
ICSB.105,105,33.4,11.4,52.76,5.6,17.7,1700,70,1770,70
